Date/time,Location,Picture Name,Predicted NO2
2021-04-17 03:19:06.207021,"(0.761729896068573, 2.798926830291748)",bergson_img_2021-04-17_03:18:43.jpg,low
2021-04-17 03:19:27.074372,"(0.7493605017662048, 2.8251445293426514)",bergson_img_2021-04-17_03:19:06.jpg,low
2021-04-17 03:19:47.868478,"(0.7372305989265442, 2.849517345428467)",bergson_img_2021-04-17_03:19:27.jpg,low
2021-04-17 03:20:10.737892,"(0.7228800058364868, 2.8768410682678223)",bergson_img_2021-04-17_03:19:47.jpg,low
2021-04-17 03:20:31.713438,"(0.7094209790229797, 2.9011456966400146)",bergson_img_2021-04-17_03:20:10.jpg,low
2021-04-17 03:20:52.419025,"(0.6956391930580139, 2.9248526096343994)",bergson_img_2021-04-17_03:20:31.jpg,low
2021-04-17 03:21:14.778647,"(0.6808725595474243, 2.9490654468536377)",bergson_img_2021-04-17_03:20:52.jpg,low
2021-04-17 03:21:35.749341,"(0.6664795279502869, 2.9716012477874756)",bergson_img_2021-04-17_03:21:14.jpg,low
2021-04-17 03:21:56.806609,"(0.6518110036849976, 2.9935925006866455)",bergson_img_2021-04-17_03:21:35.jpg,low
2021-04-17 03:22:19.032781,"(0.6354462504386902, 3.017075538635254)",bergson_img_2021-04-17_03:21:56.jpg,low
2021-04-17 03:22:40.070313,"(0.6202459335327148, 3.0379867553710938)",bergson_img_2021-04-17_03:22:19.jpg,low
2021-04-17 03:23:01.108793,"(0.6048122048377991, 3.0584113597869873)",bergson_img_2021-04-17_03:22:40.jpg,low
2021-04-17 03:23:23.273004,"(0.5884067416191101, 3.0793075561523438)",bergson_img_2021-04-17_03:23:01.jpg,low
2021-04-17 03:23:44.094771,"(0.5725331902503967, 3.098795175552368)",bergson_img_2021-04-17_03:23:23.jpg,low
2021-04-17 03:24:06.357661,"(0.5556923151016235, 3.118751287460327)",bergson_img_2021-04-17_03:23:44.jpg,low
2021-04-17 03:24:27.372165,"(0.5394262671470642, 3.137380361557007)",bergson_img_2021-04-17_03:24:06.jpg,low
2021-04-17 03:24:48.288791,"(0.5229843258857727, -3.1275672912597656)",bergson_img_2021-04-17_03:24:27.jpg,low
2021-04-17 03:25:10.608259,"(0.5055814981460571, -3.1088619232177734)",bergson_img_2021-04-17_03:24:48.jpg,low
2021-04-17 03:25:31.505038,"(0.4888094961643219, -3.0913710594177246)",bergson_img_2021-04-17_03:25:10.jpg,low
2021-04-17 03:25:52.349315,"(0.47189003229141235, -3.074218511581421)",bergson_img_2021-04-17_03:25:31.jpg,low
2021-04-17 03:26:14.856706,"(0.45401591062545776, -3.056594133377075)",bergson_img_2021-04-17_03:25:52.jpg,low
2021-04-17 03:26:35.815869,"(0.43682050704956055, -3.040083169937134)",bergson_img_2021-04-17_03:26:14.jpg,low
2021-04-17 03:26:56.616597,"(0.41950225830078125, -3.0238611698150635)",bergson_img_2021-04-17_03:26:35.jpg,low
